Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,25,OKC,19,2,20.4,2.1,5.9,.354,1.6,4.7,.333,0.5,1.2,.435,.487,0.4,0.5,.889,0.2,1.4,1.5,0.8,0.6,0.2,0.5,1.8,6.2
2,Jaylen Adams\adamsja01,PG,22,ATL,4,0,3.3,0.3,1.0,.250,0.3,1.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.3,0.0,0.0,0.8
3,Steven Adams\adamsst01,C,25,OKC,21,21,33.7,6.2,10.5,.595,0.0,0.0,,6.2,10.5,.595,.595,2.4,4.2,.562,4.7,5.5,10.2,1.7,1.5,1.0,1.4,2.3,14.9
4,Bam Adebayo\adebaba01,C,21,MIA,23,1,19.1,2.7,5.0,.539,0.0,0.1,.000,2.7,4.9,.554,.539,2.1,3.0,.700,2.1,4.7,6.9,1.3,0.7,0.9,1.2,2.4,7.5
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,6,0,3.5,0.5,1.7,.300,0.0,0.7,.000,0.5,1.0,.500,.300,0.2,0.3,.500,0.2,0.5,0.7,1.0,0.3,0.0,0.2,0.7,1.2
6,LaMarcus Aldridge\aldrila01,C,33,SAS,24,24,33.8,7.1,15.8,.451,0.0,0.4,.000,7.1,15.4,.462,.451,3.9,4.8,.825,3.5,6.6,10.2,2.4,0.4,1.2,2.1,1.8,18.2
7,Grayson Allen\allengr01,SG,23,UTA,14,1,10.5,1.4,3.9,.345,0.7,2.5,.286,0.6,1.4,.450,.436,1.1,1.6,.696,0.1,0.1,0.2,0.4,0.1,0.0,0.7,1.1,4.6
8,Jarrett Allen\allenja01,C,20,BRK,23,23,28.1,4.7,7.8,.598,0.1,0.7,.176,4.5,7.0,.642,.606,2.7,4.0,.685,2.9,5.5,8.3,1.6,0.5,1.4,1.3,2.6,12.2
9,Al-Farouq Aminu\aminual01,PF,28,POR,24,24,29.8,3.1,7.1,.433,1.4,4.0,.354,1.7,3.1,.533,.532,1.6,1.8,.864,1.3,6.9,8.2,0.5,1.0,0.4,0.8,2.4,9.2
10,Justin Anderson\anderju01,SG,25,ATL,7,0,9.7,2.1,5.0,.429,0.1,1.9,.077,2.0,3.1,.636,.443,1.1,1.3,.889,0.6,0.9,1.4,0.6,0.7,0.1,0.4,1.4,5.6
11,Kyle Anderson\anderky01,SF,25,MEM,22,19,30.0,2.7,5.7,.476,0.1,0.5,.250,2.6,5.2,.500,.488,0.6,1.2,.538,1.2,5.0,6.3,3.0,1.2,0.7,1.2,2.3,6.2
12,Ryan Anderson\anderry01,PF,30,PHO,15,8,18.5,1.3,4.0,.317,0.5,2.3,.206,0.8,1.7,.462,.375,0.7,0.9,.786,0.9,2.1,3.0,1.1,0.2,0.1,0.8,1.5,3.7
13,Ike Anigbogu\anigbik01,C,20,IND,3,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0
14,Giannis Antetokounmpo\antetgi01,PF,24,MIL,21,21,34.1,10.4,18.0,.578,0.3,2.5,.115,10.1,15.6,.651,.586,6.4,9.3,.692,2.6,10.6,13.2,6.0,1.5,1.3,4.3,3.0,27.6
15,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,29.4,4.9,12.1,.405,2.1,6.4,.328,2.8,5.7,.491,.492,1.5,2.2,.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4
